case,tokens,routed_m,op,before_ms,after_ms,speedup,improvement_percent,before_mfu_percent,after_mfu_percent,before_config,after_config,before_tile_m,before_tile_n,before_tile_k,before_num_warps,before_pingpong,before_is_dynamic_persistent,before_cluster_m,before_cluster_n,before_cluster_k,before_swap_ab,before_max_swizzle_size,before_device_capacity,before_use_tma_gather,after_tile_m,after_tile_n,after_tile_k,after_num_warps,after_pingpong,after_is_dynamic_persistent,after_cluster_m,after_cluster_n,after_cluster_k,after_swap_ab,after_max_swizzle_size,after_device_capacity,after_use_tma_gather
m4k_tk5k,4096,4915,gated,0.2624787139892578,0.23176064491271972,1.1325422143526844,13.254221435268443,35.73596872560381,40.472493152533616,m192_n128_cm2_cn1_pp1_dyn0_sw8,m128_n256_cm1_cn1_pp0_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False,128,256,,,False,False,1,1,1,False,8,9,False
m4k_tk5k,4096,4915,out,0.0835161590576172,0.0835161590576172,1.0,0.0,56.15638470505856,56.15638470505856,m192_n128_cm2_cn1_pp1_dyn0_sw8,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False,192,128,,,True,False,2,1,1,False,8,9,False
m4k_tk7k,4096,7373,gated,0.2517574405670166,0.2517574405670166,1.0,0.0,55.890506570359065,55.890506570359065,m128_n224_cm2_cn1_pp0_dyn0_sw8,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False,128,224,,,False,False,2,1,1,False,8,9,False
m4k_tk7k,4096,7373,out,0.11503616333007813,0.11503616333007813,1.0,0.0,61.15838045542921,61.15838045542921,m256_n128_cm2_cn1_pp0_dyn0_sw8,m256_n128_cm2_cn1_pp0_dyn0_sw8,256,128,,,False,False,2,1,1,False,8,9,False,256,128,,,False,False,2,1,1,False,8,9,False
m8k_tk10k,8192,9830,gated,0.35169599533081053,0.3302476882934571,1.0649461231604278,6.49461231604278,53.3411311973224,56.80543087358024,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,128,192,,,True,False,1,1,1,False,8,9,False
m8k_tk10k,8192,9830,out,0.1483187198638916,0.14211967945098877,1.043618451975475,4.361845197547498,63.24172109134,66.000227065609,m128_n192_cm1_cn2_pp1_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,192,,,True,False,1,2,1,False,8,9,False,128,192,,,True,False,1,2,1,False,4,9,False
m8k_tk12k,8192,12288,gated,0.44465215682983394,0.44465215682983394,1.0,0.0,52.73961149226797,52.73961149226797,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,128,256,,,False,False,2,1,1,False,8,9,False
m8k_tk12k,8192,12288,out,0.18729536056518553,0.1847193622589111,1.0139454698997055,1.3945469899705465,62.60374504109175,63.47678368317112,m128_n192_cm1_cn2_pp1_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,192,,,True,False,1,2,1,False,8,9,False,128,192,,,True,False,1,2,1,False,4,9,False
m12k_tk18k,12288,18432,gated,0.6194732856750489,0.6122777557373047,1.0117520681917953,1.1752068191795306,56.78400314272584,57.451332619862264,m128_n224_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False,128,192,,,True,False,1,1,1,False,8,9,False
m12k_tk18k,12288,18432,out,0.2577932834625244,0.2577932834625244,1.0,0.0,68.22554204698716,68.22554204698716,m192_n128_cm1_cn2_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False,192,128,,,True,False,1,2,1,False,8,9,False
online_min,12176,14395,gated,0.4921696090698242,0.4921696090698242,1.0,0.0,55.81783698717299,55.81783698717299,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,128,256,,,False,False,2,1,1,False,8,9,False
online_min,12176,14395,out,0.21204416275024413,0.21204416275024413,1.0,0.0,64.77858822611817,64.77858822611817,m192_n128_cm1_cn2_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False,192,128,,,True,False,1,2,1,False,8,9,False
m16k_tk20k,16384,19661,gated,0.6613644981384277,0.6610898971557617,1.000415376159653,0.04153761596530359,56.73366652151105,56.757232334033795,m128_n224_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False,128,192,,,True,False,1,1,1,False,8,9,False
m16k_tk20k,16384,19661,out,0.28460991859436036,0.2800428771972656,1.0163083647861455,1.6308364786145502,65.91764804238902,66.99265709250905,m192_n128_cm1_cn2_pp1_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw4,192,128,,,True,False,1,2,1,False,8,9,False,128,192,,,True,False,1,2,1,False,4,9,False
