case,distribution,candidate_set,tokens,routed_m,skew_ratio,total_ms,weighted_mfu_percent,gated_ms,out_ms,gated_config,out_config
m4k_tk5k,balanced,before,4096.0,4915.0,1.0026449643947102,0.32942160964012146,42.71090984819112,0.23822160959243777,0.09120000004768372,m192_n128_cm2_cn1_pp1_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw8
m4k_tk5k,balanced,current_after,4096.0,4915.0,1.0026449643947102,0.32900720834732056,42.76470640890086,0.23822160959243777,0.09078559875488282,m192_n128_cm2_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn1_pp1_dyn0_sw8
m4k_tk5k,balanced,expanded_after,4096.0,4915.0,1.0026449643947102,0.32900720834732056,42.76470640890086,0.23822160959243777,0.09078559875488282,m192_n128_cm2_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn1_pp1_dyn0_sw8
m4k_tk7k,balanced,before,4096.0,7373.0,1.0004068900040688,0.40489599704742435,52.12764878668167,0.2875631928443909,0.11733280420303345,m128_n256_cm2_cn1_pp0_dyn0_sw8,m256_n128_cm1_cn2_pp0_dyn0_sw8
m4k_tk7k,balanced,current_after,4096.0,7373.0,1.0004068900040688,0.39541759490966794,53.37718048192344,0.2780847907066345,0.11733280420303345,m128_n192_cm1_cn1_pp1_dyn0_sw8,m256_n128_cm1_cn2_pp0_dyn0_sw8
m4k_tk7k,balanced,expanded_after,4096.0,7373.0,1.0004068900040688,0.37603280544281004,56.12881648548465,0.2587000012397766,0.11733280420303345,m128_n256_cm2_cn1_pp0_dyn0_sw4,m256_n128_cm1_cn2_pp0_dyn0_sw8
m8k_tk10k,balanced,before,8192.0,9830.0,1.0010172939979654,0.5304159939289093,53.05230925321985,0.3859295964241028,0.14448639750480652,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m8k_tk10k,balanced,current_after,8192.0,9830.0,1.0010172939979654,0.4660111963748932,60.38437179550679,0.32152479887008667,0.14448639750480652,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m8k_tk10k,balanced,expanded_after,8192.0,9830.0,1.0010172939979654,0.4660111963748932,60.38437179550679,0.32152479887008667,0.14448639750480652,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m8k_tk12k,balanced,before,8192.0,12288.0,1.0,0.5097264111042022,69.00990852015255,0.3336160063743591,0.17611040472984313,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n256_cm1_cn2_pp0_dyn0_sw8
m8k_tk12k,balanced,current_after,8192.0,12288.0,1.0,0.5097264111042022,69.00990852015255,0.3336160063743591,0.17611040472984313,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n256_cm1_cn2_pp0_dyn0_sw8
m8k_tk12k,balanced,expanded_after,8192.0,12288.0,1.0,0.49913920760154723,70.47367240420654,0.3336160063743591,0.1655232012271881,m128_n256_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm2_cn1_pp1_dyn0_sw4
online_min,balanced,before,12176.0,14395.0,1.0003473428273706,0.7123991966247558,57.84364259376845,0.5026295900344848,0.209769606590271,m128_n256_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
online_min,balanced,current_after,12176.0,14395.0,1.0003473428273706,0.7123991966247558,57.84364259376845,0.5026295900344848,0.209769606590271,m128_n256_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
online_min,balanced,expanded_after,12176.0,14395.0,1.0003473428273706,0.7123991966247558,57.84364259376845,0.5026295900344848,0.209769606590271,m128_n256_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m12k_tk18k,balanced,before,12288.0,18432.0,1.0,0.849399209022522,62.11950628212905,0.5974832057952881,0.25191600322723384,m128_n224_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m12k_tk18k,balanced,current_after,12288.0,18432.0,1.0,0.8074991941452025,65.34280143370901,0.5555831909179687,0.25191600322723384,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m12k_tk18k,balanced,expanded_after,12288.0,18432.0,1.0,0.795957589149475,66.29029011117484,0.5555831909179687,0.24037439823150636,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm2_cn1_pp1_dyn0_sw4
m16k_tk20k,balanced,before,16384.0,19661.0,1.0001525863384364,0.9342903733253478,60.24085331148851,0.6481831789016723,0.2861071944236755,m128_n192_cm2_cn1_pp1_dyn0_sw8,m256_n128_cm1_cn2_pp0_dyn0_sw8
m16k_tk20k,balanced,current_after,16384.0,19661.0,1.0001525863384364,0.9186447978019714,61.26682420070776,0.6325376033782959,0.2861071944236755,m128_n192_cm1_cn1_pp1_dyn0_sw8,m256_n128_cm1_cn2_pp0_dyn0_sw8
m16k_tk20k,balanced,expanded_after,16384.0,19661.0,1.0001525863384364,0.8995615839958191,62.566532776803975,0.618127989768982,0.28143359422683717,m128_n224_cm2_cn1_pp0_dyn0_sw4,m256_n192_cm1_cn1_pp0_dyn0_sw8
m20k_tk24k,balanced,before,20000.0,24000.0,1.0,1.0855752229690552,63.287611432310975,0.7487768173217774,0.3367984056472778,m256_n192_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m20k_tk24k,balanced,current_after,20000.0,24000.0,1.0,1.0855752229690552,63.287611432310975,0.7487768173217774,0.3367984056472778,m256_n192_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m20k_tk24k,balanced,expanded_after,20000.0,24000.0,1.0,1.0855752229690552,63.287611432310975,0.7487768173217774,0.3367984056472778,m256_n192_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
