case,distribution,tokens,routed_m,skew_ratio,op,candidate_set,best_ms,mfu_percent,best_config,tile_m,tile_n,tile_k,num_warps,pingpong,is_dynamic_persistent,cluster_m,cluster_n,cluster_k,swap_ab,max_swizzle_size,device_capacity,use_tma_gather
m4k_tk5k,random,4096,4915,1.0970498474059003,gated,before,0.26276240348815916,35.697386649454636,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
m4k_tk5k,random,4096,4915,1.0970498474059003,gated,current_after,0.23305680751800537,40.24740240008718,m128_n256_cm1_cn1_pp0_dyn0_sw8,128,256,,,False,False,1,1,1,False,8,9,False
m4k_tk5k,random,4096,4915,1.0970498474059003,gated,expanded_after,0.23305680751800537,40.24740240008718,m128_n256_cm1_cn1_pp0_dyn0_sw8,128,256,,,False,False,1,1,1,False,8,9,False
m4k_tk5k,random,4096,4915,1.0970498474059003,out,before,0.0832887977361679,56.309680108298764,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
m4k_tk5k,random,4096,4915,1.0970498474059003,out,current_after,0.0832887977361679,56.309680108298764,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
m4k_tk5k,random,4096,4915,1.0970498474059003,out,expanded_after,0.0832887977361679,56.309680108298764,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
m4k_tk7k,random,4096,7373,1.0937203309372032,gated,before,0.23385119438171387,60.170104853857886,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m4k_tk7k,random,4096,7373,1.0937203309372032,gated,current_after,0.23385119438171387,60.170104853857886,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m4k_tk7k,random,4096,7373,1.0937203309372032,gated,expanded_after,0.23385119438171387,60.170104853857886,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m4k_tk7k,random,4096,7373,1.0937203309372032,out,before,0.11456239819526673,61.41129684700061,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
m4k_tk7k,random,4096,7373,1.0937203309372032,out,current_after,0.11456239819526673,61.41129684700061,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
m4k_tk7k,random,4096,7373,1.0937203309372032,out,expanded_after,0.11456239819526673,61.41129684700061,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
m8k_tk10k,random,8192,9830,1.0596134282807732,gated,before,0.3555055975914001,52.76952699370791,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m8k_tk10k,random,8192,9830,1.0596134282807732,gated,current_after,0.32506159543991087,57.711715230849215,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
m8k_tk10k,random,8192,9830,1.0596134282807732,gated,expanded_after,0.32506159543991087,57.711715230849215,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
m8k_tk10k,random,8192,9830,1.0596134282807732,out,before,0.14471279978752136,64.81756367114154,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
m8k_tk10k,random,8192,9830,1.0596134282807732,out,current_after,0.14471279978752136,64.81756367114154,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
m8k_tk10k,random,8192,9830,1.0596134282807732,out,expanded_after,0.14471279978752136,64.81756367114154,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
m8k_tk12k,random,8192,12288,1.0598958333333333,gated,before,0.46004960536956785,50.974463898444,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m8k_tk12k,random,8192,12288,1.0598958333333333,gated,current_after,0.46004960536956785,50.974463898444,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m8k_tk12k,random,8192,12288,1.0598958333333333,gated,expanded_after,0.4417184114456177,53.08989028475577,m128_n256_cm2_cn1_pp0_dyn0_sw4,128,256,,,False,False,2,1,1,False,4,9,False
