case,distribution,tokens,routed_m,skew_ratio,op,rank,ms,mfu_percent,config,tile_m,tile_n,tile_k,num_warps,pingpong,is_dynamic_persistent,cluster_m,cluster_n,cluster_k,swap_ab,max_swizzle_size,device_capacity,use_tma_gather,error
m4k_tk5k,random,4096,4915,1.0970498474059003,gated,1,0.23305680751800537,40.24740240008718,m128_n256_cm1_cn1_pp0_dyn0_sw8,128,256,,,False,False,1,1,1,False,8,9,False,
m4k_tk5k,random,4096,4915,1.0970498474059003,gated,2,0.24850239753723147,37.74583749378712,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False,
m4k_tk5k,random,4096,4915,1.0970498474059003,gated,3,0.26276240348815916,35.697386649454636,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False,
m4k_tk5k,random,4096,4915,1.0970498474059003,gated,4,0.2655551910400391,35.32196481462328,m192_n128_cm2_cn1_pp1_dyn0_sw4,192,128,,,True,False,2,1,1,False,4,9,False,
m4k_tk5k,random,4096,4915,1.0970498474059003,gated,5,0.26687519550323485,35.147257116081924,m128_n224_cm1_cn1_pp0_dyn0_sw8,128,224,,,False,False,1,1,1,False,8,9,False,
m4k_tk5k,random,4096,4915,1.0970498474059003,out,1,0.0832887977361679,56.309680108298764,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False,
m4k_tk5k,random,4096,4915,1.0970498474059003,out,2,0.08400079905986785,55.83239218695822,m192_n128_cm1_cn2_pp1_dyn0_sw4,192,128,,,True,False,1,2,1,False,4,9,False,
m4k_tk5k,random,4096,4915,1.0970498474059003,out,3,0.08407439887523652,55.78351578924945,m192_n128_cm2_cn1_pp1_dyn0_sw4,192,128,,,True,False,2,1,1,False,4,9,False,
m4k_tk5k,random,4096,4915,1.0970498474059003,out,4,0.08411120176315308,55.75910769096827,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False,
m4k_tk5k,random,4096,4915,1.0970498474059003,out,5,0.08443360030651093,55.54619890781508,m192_n128_cm1_cn1_pp1_dyn0_sw8,192,128,,,True,False,1,1,1,False,8,9,False,
m4k_tk7k,random,4096,7373,1.0937203309372032,gated,1,0.23385119438171387,60.170104853857886,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,
m4k_tk7k,random,4096,7373,1.0937203309372032,gated,2,0.2442031979560852,57.619437435368766,m128_n256_cm2_cn1_pp0_dyn0_sw4,128,256,,,False,False,2,1,1,False,4,9,False,
m4k_tk7k,random,4096,7373,1.0937203309372032,gated,3,0.25011759996414185,56.25694028794812,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False,
