case,op,tokens,routed_m,ms,mfu_percent,status,error,config_label,config_tile_m,config_tile_n,config_tile_k,config_num_warps,config_pingpong,config_is_dynamic_persistent,config_cluster_m,config_cluster_n,config_cluster_k,config_swap_ab,config_max_swizzle_size,config_device_capacity,config_use_tma_gather
online_min,gated,12176,14395,0.5519701639811198,49.77052167268914,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw8,256,128,,,False,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.5774485270182291,47.574531276331165,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw8,256,160,,,False,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.49243094126383463,55.78821456383919,ok,,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.4845418612162272,56.696531730291035,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.4584853490193685,59.918693297088474,ok,,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.5516757329305013,49.79708435455314,ok,,m128_n128_cm2_cn1_pp1_dyn0_sw8,128,128,,,True,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.5321109453837077,51.62803593391605,ok,,m128_n160_cm2_cn1_pp1_dyn0_sw8,128,160,,,True,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.4614442825317383,59.5344747980718,ok,,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.6739157358805339,40.764507410122384,ok,,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.2081706682840983,65.98394297223528,ok,,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.20933547019958496,65.61678960308986,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw8,256,128,,,False,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.21352319717407225,64.32987931213864,ok,,m256_n160_cm1_cn2_pp0_dyn0_sw8,256,160,,,False,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.21323092778523764,64.4180543939884,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw8,256,160,,,False,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.20282452901204426,67.72317712979566,ok,,m256_n192_cm1_cn2_pp0_dyn0_sw8,256,192,,,False,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.20365227063496907,67.44791728431365,ok,,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.23272533416748048,59.02202935355982,ok,,m256_n208_cm1_cn2_pp0_dyn0_sw8,256,208,,,False,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.2335594654083252,58.81123884461689,ok,,m256_n208_cm2_cn1_pp0_dyn0_sw8,256,208,,,False,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.2177471955617269,63.08196745824998,ok,,m128_n224_cm1_cn2_pp0_dyn0_sw8,128,224,,,False,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.2123477300008138,64.685982301282,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.2097856044769287,65.4759965003255,ok,,m128_n256_cm1_cn2_pp0_dyn0_sw8,128,256,,,False,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.2038826624552409,67.37169967831643,ok,,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.2073344071706136,66.25008213541173,ok,,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.2159872055053711,63.59599621843559,ok,,m128_n128_cm2_cn1_pp1_dyn0_sw8,128,128,,,True,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.21992106437683107,62.4584168118329,ok,,m128_n160_cm1_cn2_pp1_dyn0_sw8,128,160,,,True,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.21773866017659504,63.084440279965214,ok,,m128_n160_cm2_cn1_pp1_dyn0_sw8,128,160,,,True,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.19196586608886718,71.55397875886565,ok,,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.20157866477966307,68.14174267680656,ok,,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.38340266545613605,35.82635892269647,ok,,m128_n208_cm1_cn2_pp1_dyn0_sw8,128,208,,,True,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.2617215951283773,52.48295043369436,ok,,m128_n208_cm2_cn1_pp1_dyn0_sw8,128,208,,,True,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.19501652717590331,70.4346534289392,ok,,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.23313706715901691,58.91779317606808,ok,,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.0900416056315103,51.553642995025214,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw8,256,128,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.205947748819987,46.5987152772067,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw8,256,160,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.0215253194173177,55.01147618984634,ok,,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,0.9694933573404948,57.96389976369333,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,0.9706431706746419,57.89523635899319,ok,,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.078314717610677,52.11429916394802,ok,,m128_n128_cm2_cn1_pp1_dyn0_sw8,128,128,,,True,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.048416010538737,53.60049371773176,ok,,m128_n160_cm2_cn1_pp1_dyn0_sw8,128,160,,,True,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,0.9724330902099609,57.788670863018034,ok,,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.1007296244303386,51.053060205891995,ok,,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.46408958435058595,60.54393125961566,ok,,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.4553002675374349,61.712697963471484,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw8,256,128,,,False,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.47748479843139646,58.845450128529045,ok,,m256_n160_cm1_cn2_pp0_dyn0_sw8,256,160,,,False,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.4838677406311035,58.06919026380599,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw8,256,160,,,False,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.4510250727335612,62.29766279495508,ok,,m256_n192_cm1_cn2_pp0_dyn0_sw8,256,192,,,False,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.44642985661824547,62.93890849073003,ok,,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.5126784006754558,54.80591313425046,ok,,m256_n208_cm1_cn2_pp0_dyn0_sw8,256,208,,,False,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.4735957463582357,59.32867452735066,ok,,m256_n208_cm2_cn1_pp0_dyn0_sw8,256,208,,,False,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.434007453918457,64.7403809301962,ok,,m128_n224_cm1_cn2_pp0_dyn0_sw8,128,224,,,False,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.45388800303141275,61.904715933372856,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.4283861478169759,65.58990769521803,ok,,m128_n256_cm1_cn2_pp0_dyn0_sw8,128,256,,,False,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.4707690556844076,59.68490824524708,ok,,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
