case,op,tokens,routed_m,ms,mfu_percent,status,error,config_label,config_tile_m,config_tile_n,config_tile_k,config_num_warps,config_pingpong,config_is_dynamic_persistent,config_cluster_m,config_cluster_n,config_cluster_k,config_swap_ab,config_max_swizzle_size,config_device_capacity,config_use_tma_gather
online_min,gated,12176,14395,0.5493077596028646,50.01175120657596,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw8,256,128,,,False,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.5734570821126302,47.90566524681,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw8,256,160,,,False,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.4896640141805013,56.103455049840264,ok,,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.47932160695393883,57.31400923835268,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.4515242576599121,60.84245207882471,ok,,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.5502933502197266,49.92217877633969,ok,,m128_n128_cm2_cn1_pp1_dyn0_sw8,128,128,,,True,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.5320597330729167,51.633005283892054,ok,,m128_n160_cm2_cn1_pp1_dyn0_sw8,128,160,,,True,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.47526187896728517,57.803590451636325,ok,,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.670033073425293,41.00072682779762,ok,,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
online_min,gated,12176,14395,0.5992298762003581,45.84524921103005,ok,,m256_n128_cm1_cn1_pp0_dyn0_sw8,256,128,,,False,False,1,1,1,False,8,9,False
online_min,gated,12176,14395,0.5495765050252278,49.98729523169669,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw4,256,128,,,False,False,2,1,1,False,4,9,False
online_min,gated,12176,14395,0.5962111790974934,46.07736985187904,ok,,m256_n160_cm1_cn1_pp0_dyn0_sw8,256,160,,,False,False,1,1,1,False,8,9,False
online_min,gated,12176,14395,0.5863061269124349,46.855800661286686,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw4,256,160,,,False,False,2,1,1,False,4,9,False
online_min,gated,12176,14395,0.5176853179931641,53.06668366720584,ok,,m256_n192_cm1_cn1_pp0_dyn0_sw8,256,192,,,False,False,1,1,1,False,8,9,False
online_min,gated,12176,14395,0.5196053187052408,52.870596239381825,ok,,m256_n192_cm2_cn1_pp0_dyn0_sw4,256,192,,,False,False,2,1,1,False,4,9,False
online_min,gated,12176,14395,0.5496213277180989,49.983218670128515,ok,,m128_n224_cm1_cn1_pp0_dyn0_sw8,128,224,,,False,False,1,1,1,False,8,9,False
online_min,gated,12176,14395,0.502242120107015,54.69840522982531,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw4,128,224,,,False,False,2,1,1,False,4,9,False
