case,op,tokens,routed_m,ms,mfu_percent,status,error,config_label,config_tile_m,config_tile_n,config_tile_k,config_num_warps,config_pingpong,config_is_dynamic_persistent,config_cluster_m,config_cluster_n,config_cluster_k,config_swap_ab,config_max_swizzle_size,config_device_capacity,config_use_tma_gather
online_target,gated,24497,29446,1.047987174987793,53.62242699878988,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw8,256,128,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.1304106394449869,49.71256800452806,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw8,256,160,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,0.9508117039998373,59.10278086612676,ok,,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,0.9411221186319987,59.71129003761604,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,0.9832021077473958,57.1557112659168,ok,,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.0724010467529297,52.40167934990636,ok,,m128_n128_cm2_cn1_pp1_dyn0_sw8,128,128,,,True,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.0458943684895834,53.729724032844,ok,,m128_n160_cm2_cn1_pp1_dyn0_sw8,128,160,,,True,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,0.9517290751139323,59.04581172927153,ok,,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.0641621271769206,52.807381837136404,ok,,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.0851520538330077,51.785936899769084,ok,,m256_n128_cm1_cn1_pp0_dyn0_sw8,256,128,,,False,False,1,1,1,False,8,9,False
online_target,gated,24497,29446,1.0725205739339192,52.395839438613244,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw4,256,128,,,False,False,2,1,1,False,4,9,False
online_target,gated,24497,29446,1.124185562133789,49.98784691718281,ok,,m256_n160_cm1_cn1_pp0_dyn0_sw8,256,160,,,False,False,1,1,1,False,8,9,False
online_target,gated,24497,29446,1.1410346984863282,49.249699295734686,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw4,256,160,,,False,False,2,1,1,False,4,9,False
