case,op,tokens,routed_m,ms,mfu_percent,status,error,config_label,config_tile_m,config_tile_n,config_tile_k,config_num_warps,config_pingpong,config_is_dynamic_persistent,config_cluster_m,config_cluster_n,config_cluster_k,config_swap_ab,config_max_swizzle_size,config_device_capacity,config_use_tma_gather
online_target,gated,24497,29446,1.0478783925374349,53.62799365523077,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw8,256,128,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.144221878051758,49.11251643093386,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw8,256,160,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.0053205490112305,55.898206638391514,ok,,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,0.9304330825805665,60.39726750750499,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,0.9838325500488281,57.11908574651443,ok,,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.0829184214274088,51.89275080608453,ok,,m128_n128_cm2_cn1_pp1_dyn0_sw8,128,128,,,True,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.0379648208618164,54.14019305566836,ok,,m128_n160_cm2_cn1_pp1_dyn0_sw8,128,160,,,True,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,0.9676287968953451,58.07559258959184,ok,,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.0941504160563151,51.360046079403595,ok,,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
online_target,gated,24497,29446,1.1015380859375,51.015590385714034,ok,,m256_n128_cm1_cn1_pp0_dyn0_sw8,256,128,,,False,False,1,1,1,False,8,9,False
online_target,gated,24497,29446,1.1199658711751301,50.176185929208195,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw4,256,128,,,False,False,2,1,1,False,4,9,False
online_target,gated,24497,29446,1.1991466522216796,46.86300518984594,ok,,m256_n160_cm1_cn1_pp0_dyn0_sw8,256,160,,,False,False,1,1,1,False,8,9,False
online_target,gated,24497,29446,1.2164651234944661,46.19582978673585,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw4,256,160,,,False,False,2,1,1,False,4,9,False
online_target,gated,24497,29446,1.0087722778320312,55.706939040019876,ok,,m256_n192_cm1_cn1_pp0_dyn0_sw8,256,192,,,False,False,1,1,1,False,8,9,False
online_target,gated,24497,29446,1.0451701482137044,53.766954483434716,ok,,m256_n192_cm2_cn1_pp0_dyn0_sw4,256,192,,,False,False,2,1,1,False,4,9,False
online_target,gated,24497,29446,0.9840213139851888,57.10812864292978,ok,,m128_n224_cm1_cn1_pp0_dyn0_sw8,128,224,,,False,False,1,1,1,False,8,9,False
online_target,gated,24497,29446,1.0608714421590169,52.97118345657914,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw4,128,224,,,False,False,2,1,1,False,4,9,False
online_target,gated,24497,29446,0.9532757441202799,58.95001119357177,ok,,m128_n256_cm1_cn1_pp0_dyn0_sw8,128,256,,,False,False,1,1,1,False,8,9,False
online_target,gated,24497,29446,1.013158416748047,55.46577401668641,ok,,m128_n256_cm2_cn1_pp0_dyn0_sw4,128,256,,,False,False,2,1,1,False,4,9,False
online_target,gated,24497,29446,1.1320789337158204,49.639308808618324,ok,,m128_n128_cm1_cn1_pp1_dyn0_sw8,128,128,,,True,False,1,1,1,False,8,9,False
