epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1348.71,1.9644,1.79993,1.67987,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.00333256,0.00333256,0.070007
2,3901.84,1.59722,1.31003,1.40642,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.00663289,0.00663289,0.039974
3,5197.36,1.57639,1.25003,1.37849,0.84029,0.58076,0.65774,0.38198,1.87802,1.44513,1.02566,0.00990023,0.00990023,0.00990799
4,6490.99,1.42727,1.04258,1.28472,0.86017,0.61395,0.68865,0.41696,1.78454,1.28523,0.99178,0.0098515,0.0098515,0.0098515
5,7783.25,1.35165,0.93496,1.23708,0.8553,0.60338,0.68023,0.41848,1.7562,1.33644,0.98087,0.009802,0.009802,0.009802
6,9075.01,1.30347,0.87407,1.20863,0.85088,0.61017,0.68742,0.42225,1.74689,1.32266,0.97922,0.0097525,0.0097525,0.0097525
7,11586.7,1.60254,1.31265,1.40946,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.009703,0.009703,0.009703
8,12878.8,1.57979,1.25561,1.38587,0.83336,0.59448,0.66925,0.3928,1.84501,1.36826,1.01882,0.0096535,0.0096535,0.0096535
9,14169,1.41602,1.02559,1.27427,0.86117,0.60839,0.68997,0.41489,1.7743,1.27648,0.9887,0.009604,0.009604,0.009604
10,16691.5,1.59838,1.30609,1.40816,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.0095545,0.0095545,0.0095545
11,17986,1.57384,1.24795,1.37375,0.83598,0.59016,0.66635,0.39238,1.86248,1.33925,1.01883,0.009505,0.009505,0.009505
12,19277,1.41239,1.02231,1.27385,0.87179,0.6281,0.70252,0.42357,1.8022,1.21518,0.98815,0.0094555,0.0094555,0.0094555
13,20568.6,1.34569,0.93,1.22897,0.86021,0.59486,0.67631,0.41388,1.77068,1.34304,0.98146,0.009406,0.009406,0.009406
14,23084.4,1.59798,1.31118,1.40958,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.0093565,0.0093565,0.0093565
15,24378.7,1.57129,1.24759,1.37833,0.81638,0.59509,0.66694,0.38954,1.85264,1.49064,1.01778,0.009307,0.009307,0.009307
16,25671.1,1.41322,1.02572,1.27334,0.88328,0.63417,0.7125,0.42582,1.78059,1.19626,0.98868,0.0092575,0.0092575,0.0092575
17,26963.6,1.34777,0.92565,1.23045,0.8668,0.61517,0.68693,0.41999,1.77874,1.30305,0.98337,0.009208,0.009208,0.009208
