epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3913.44,1.35594,0.49415,0.20013,0.83026,0.5721,0.62075,0.34924,0.80979,0.44134,0.09674,0.00999629,0.0033321,0.00999629,0.0033321,0.00999629,0.0033321,0.00999629,0.0033321
2,7819.69,1.34795,0.25676,0.11508,0.68452,0.43243,0.49161,0.25864,0.95664,0.44996,0.12274,0.0198313,0.00661044,0.0198313,0.00661044,0.0198313,0.00661044,0.0198313,0.00661044
3,11724.4,1.46172,0.24066,0.15688,0.69908,0.37214,0.4386,0.22487,0.96849,0.495,0.14391,0.0295014,0.00983378,0.0295014,0.00983378,0.0295014,0.00983378,0.0295014,0.00983378
4,15630.8,1.45779,0.28371,0.17384,0.66503,0.32258,0.38979,0.20603,0.91654,0.53843,0.11837,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,19535.6,1.50706,0.27346,0.18496,0.79136,0.30414,0.35026,0.14812,1.19401,0.36346,0.16667,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,23436.9,1.4804,0.28051,0.17624,0.82289,0.28694,0.34001,0.13145,1.20007,0.34377,0.16796,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,27337.2,1.53875,0.26148,0.19555,0.75154,0.27437,0.32602,0.10226,1.22411,0.33493,0.18508,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,31235.8,1.52821,0.26274,0.18574,0.68159,0.28991,0.33679,0.08589,1.21437,0.34395,0.19522,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,35134.9,1.50864,0.27263,0.18678,0.65346,0.30603,0.33927,0.08148,1.23942,0.33628,0.20245,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,39034.6,1.55546,0.26166,0.18696,0.6773,0.29783,0.32438,0.07738,1.2606,0.32817,0.20746,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
