epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3868.24,1.3598,0.49208,0.20533,0.82343,0.45848,0.4756,0.22985,1.03525,0.36215,0.10434,0.00999629,0.0033321,0.00999629,0.0033321,0.00999629,0.0033321,0.00999629,0.0033321
2,7728.74,1.34838,0.25553,0.11435,0.73746,0.50942,0.54502,0.27326,0.95347,0.39251,0.12423,0.0198313,0.00661044,0.0198313,0.00661044,0.0198313,0.00661044,0.0198313,0.00661044
3,11589.2,1.53074,0.2072,0.17382,0.54103,0.36179,0.38777,0.22852,1.05723,0.41371,0.16891,0.0295014,0.00983378,0.0295014,0.00983378,0.0295014,0.00983378,0.0295014,0.00983378
4,15450.7,1.63392,0.18271,0.23159,0.4026,0.32359,0.31993,0.17141,1.1014,0.42889,0.17558,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,19310.5,1.55653,0.2244,0.20265,0.786,0.31315,0.40738,0.20765,0.98042,0.52522,0.14986,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,23167,1.48113,0.27876,0.17151,0.71869,0.38492,0.45351,0.1915,1.033,0.43992,0.14317,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,27017.8,1.48403,0.28271,0.17196,0.72206,0.28866,0.33148,0.12045,1.21165,0.35037,0.16292,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,30869,1.47173,0.28909,0.16881,0.675,0.22584,0.2675,0.08358,1.27168,0.34026,0.18138,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,34727.3,1.52485,0.27135,0.18228,0.75413,0.21727,0.25948,0.07771,1.29132,0.32947,0.18808,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,38583.2,1.51617,0.2715,0.17435,0.74702,0.22277,0.26111,0.07913,1.28633,0.32695,0.18821,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,42432.6,1.58069,0.25778,0.1869,0.69024,0.21894,0.24933,0.06565,1.29827,0.32066,0.20455,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
