epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,837.994,1.22203,0.87812,1.01746,0.87908,0.54826,0.61019,0.34551,2.20674,1.2235,0.8386,0.00999484,0.00333161,0.00999484,0.00333161,0.00999484,0.00333161,0.00999484,0.00333161
2,1663.65,1.39158,0.87098,1.06773,0.86516,0.53392,0.5907,0.34014,2.17569,1.37404,0.85062,0.0198959,0.00663195,0.0198959,0.00663195,0.0198959,0.00663195,0.0198959,0.00663195
3,2486.89,1.45401,0.93909,1.11144,0.849,0.55765,0.61114,0.34902,2.12459,1.31947,0.85382,0.0296979,0.0098993,0.0296979,0.0098993,0.0296979,0.0098993,0.0296979,0.0098993
4,3310.97,1.39197,0.86927,1.09897,0.91071,0.63967,0.70315,0.42182,1.91359,0.93592,0.82028,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,4134.56,1.29896,0.76296,1.05927,0.92155,0.67763,0.73593,0.45373,1.82483,0.83294,0.80508,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,4958.12,1.25098,0.7139,1.03907,0.92562,0.69602,0.75199,0.46964,1.76773,0.78847,0.7953,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,5779.76,1.22792,0.68601,1.0287,0.9315,0.70695,0.76295,0.48115,1.73414,0.74442,0.78932,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,6602.75,1.20562,0.6654,1.01841,0.93768,0.71171,0.76865,0.48697,1.71826,0.73142,0.78754,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,7425.18,1.19156,0.65118,1.01309,0.93347,0.71953,0.77261,0.49075,1.70973,0.72026,0.7862,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,8248.01,1.18632,0.64234,1.01057,0.93194,0.72455,0.7753,0.493,1.70184,0.71329,0.78448,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,9069.89,1.17086,0.62968,1.00268,0.93358,0.72537,0.77756,0.49537,1.6963,0.70745,0.78324,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,9893.32,1.1671,0.62551,1.00483,0.93467,0.72692,0.77864,0.49699,1.69367,0.7034,0.78249,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
