epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,381.74,1.92153,4.37603,0.951,0.7744,0.46425,0.51556,0.27441,2.40156,1.56544,0.84783,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328
2,733.655,1.99866,1.34672,0.94727,0.74771,0.45325,0.48626,0.25496,2.5383,1.65867,0.87287,0.0198851,0.00662836,0.0198851,0.00662836,0.0198851,0.00662836,0.0198851,0.00662836
3,1083,2.05953,1.32205,0.96838,0.72517,0.41458,0.45393,0.2374,2.42258,2.20082,0.87456,0.0296872,0.00989572,0.0296872,0.00989572,0.0296872,0.00989572,0.0296872,0.00989572
4,1432.56,2.02075,1.23897,0.96567,0.82621,0.50633,0.55468,0.31239,2.29984,1.38136,0.84756,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1781.15,1.94476,1.11721,0.94268,0.81912,0.50943,0.56079,0.31914,2.26931,1.33449,0.84275,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2130.12,1.90351,1.05117,0.92831,0.86516,0.5792,0.63569,0.36853,2.12285,1.07981,0.82351,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2478.57,1.87996,1.00946,0.92266,0.86886,0.58687,0.64215,0.37526,2.11307,1.03765,0.81857,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2827.11,1.8625,0.98353,0.91768,0.87369,0.59777,0.65075,0.38211,2.08773,1.01792,0.81051,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3176.73,1.84003,0.95985,0.91335,0.88367,0.6154,0.66875,0.3985,2.03911,0.93999,0.80637,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3525.55,1.83821,0.94996,0.90868,0.8844,0.62712,0.67832,0.40686,2.01398,0.91374,0.80046,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3875.82,1.82939,0.93869,0.90451,0.89521,0.63309,0.68795,0.41553,1.98478,0.87146,0.79558,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,4224.66,1.82103,0.92648,0.90196,0.90625,0.63495,0.69598,0.423,1.97041,0.84378,0.79234,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,4573.65,1.80812,0.91475,0.90282,0.90531,0.64679,0.7011,0.42749,1.96615,0.83161,0.79203,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4922.45,1.81283,0.90946,0.90052,0.90718,0.64725,0.70387,0.43248,1.94503,0.83317,0.78822,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,5272.15,1.8097,0.91106,0.89924,0.91029,0.65168,0.70768,0.43636,1.93991,0.80922,0.78749,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,5620.43,1.80473,0.90279,0.89892,0.92178,0.65516,0.71297,0.44112,1.92154,0.79501,0.78629,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,5968.62,1.79919,0.89198,0.89383,0.91199,0.66167,0.71537,0.44244,1.91906,0.7889,0.78405,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
